mr,ref,group
shoe_big;carrot_small;racket_small,now so with the funky shoe and the carrots and the tennis racket,07
mime_big;yarn_small;oreo_small,okay there is a big clown with a white powdered face in the middle with a hat and a red striped shirt um lower left corner there's a ball of yarn and lower right corner there's an oreo,07
shoe_big;wine_small,I've got that shoe again and in the lower right hand corner a bottle of wine with a glass of wine,07
bluemermaid_big;arm_small;onion_small,wi- and then there's the amputated arm on the lower left and then there's a onion on the lower right,07
sunflower_big;microphone_small;microphone_right,um I've got a yellow sunflower in the middle and then on the left and the right um two b- blue microphones,07
shoe_big;kettle_small;wine_small,okay I have the picture with the funky yel- uh- red and purple shoe,07
shoe_big;carrot_small;racket_small,so now I've got th- uh the- again the card the funky shoe the three carrots and the tennis racket do you remember where that,07
mime_big;yarn_small;oreo_small,okay I have the scary clown again with the white powdered face and the ball of yarn on the lower left corner and the oreo on the lower right corner,07
loom_big;whale_small;iron_small,um I've got s- some- uh- somebody weaving is in the middle and then there's a whale in the left and that blue iron on the right,07
loom_big;whale_small;iron_small,okay I have uh the weaving thing that you were just talking about with the whale and the iron,07
mm_big;one_small;nine_small,in the middle and a one on the left and a nine on the right,07
shoe_big;sunflower_small;racket_small,they share two features so we get forty points,07
mm_big;one_small;nine_small,I've got another M and M mister M and M with the same with the one in the left and the nine in the right,07
kettle_big;safetypin_small;racket_small,a safety pin on the lower left corner and a tennis racket on the lower right corner,07
racket_big,um I have the big blue tennis racket so it's by itself we can yeah,07
limo_big;mirror_small;worm_small,on the lower left corner and this uh squiggly little worm guy with uh eyes he's like in a knot he's purple okay,07
microphone_big;carrot_small;shoe_small,that was with the sunflowers is now on the middle of this card in the top and the funky shoes down on the corner with the three carrots,07
microphone_big;carrot_small,okay I have the microphone now,07
limo_big;mirror_small;worm_small,I've now got the stretch limo with the gold frame and that and that worm,07
airplane_big;yarn_small;oreo_small,and on the lower left corner a ball of blue yarn and on the lower right corner oreos okay,07
bluemermaid_big;arm_small;onion_small,I've got the blue mermaid with the amputated arm and the and the um uh? onion,07
racket_big,okay I have a blue tennis racket,07
yellowrhino_big,I have a yellow rhino,07
lamb_big;knee_small,yeah it's just a little white it's a little white lamb in the middle and in the left side is a is a you can see a leg and it's got it's closed in the in the red shorts so that the knee's exposed and there's an arrow pointing to the knee oh it could be an elbow,07
yellowrhino_big;ruler_small,at a slant mmhm one of those,07
yellowrhino_big;ear_small,and I have the rhino again with an ear in the right hand corner,07
yellowrhino_big;owl_small,and now I've got the rhino again with ?- a white owl sitting on a branch in left hand corner oo oo and his eyes closed,07
yellowrhino_big;owl_small;ear_small,get the rhino with the owl and the ear,07
lamb_big;windmill_small;llama_small,got the lamb and now there's a- a sh- silhouette of a camel or a llama it's a llama no be- no hump,07
yellowrhino_big;owl_small;ruler_small,got that the? same the rhino with the owl and the ruler right uhhuh,07
yellowrhino_big;owl_small;ear_middle;ruler_small,and now I have the rhino with three things in- the owl ear and ruler from left to right,07
lamb_big;lawnmower_small;arrow_middle;nun_small,and now the lamb with the lawnmower with three things lawnmower arrow and praying nun from left to right,07
bluelion_big,okay I have a blue lion,07
airplane_big,I have a red airplane in the middle,07
airplane_big,I have the red airplane that you just described,07
yellowlion_big,I've got a yellow lion,07
bluelion_big;lemon_small,okay I have a blue lion and I have a lemon,07
yellowlion_big;bluemoon_small,I have a yellow lion with a blue crescent moon in the left,07
bluelion_big;iron_small,I have a blue lion again and then I have a iron,07
yellowlion_big;lemon_small,it's faded faded lemon with yellow- with three green leaves,07
yellowlion_big;lemon_small,okay I have the l- the yellow lion now and then I have the lemon at the bottom,07
bluelion_big;alien_small,I've got the blue lion with the extraterrestrial on the lower right,07
alien_big;eye_small,okay I have the extraterrestrial now and then I have the eye at the bottom right corner,07
yellowlion_big;bluemoon_small;iron_small,now I have the yellow lion the blue crescent in the left and the blue iron,07
bluelion_big;lemon_small;yellowmoon_small,and I have a lemon and then I have a yellow crescent moon,07
bluelion_big;lemon_small;yellowmoon_small,yes one more blue lion,07
pineapple_big;sock_small,okay I have the pineapple in the middle and a black sock on the lower right corner,07
nail_big;lime_small;money_small,I've got the n- nails in the middle uh a green sort of lemon thing on the left and the money the coins on the right,07
bluelion_big;lemon_small;iron_small,okay I have the blue lion again with the yellow lemon and a iron,07
yellowlion_big;lemon_small;money_small,I've got that yellow lion with that the lemon and the money,07
nail_big;lime_small;money_small,in the middle and a a lemon and a stack of money and coins it's sorta l- it's different from the other lemon we're used to seeing,07
yellowlion_big;lime_small;lemon_middle;yellowmoon_small,that- the regular the faded yellow lemon and the yellow crescent moon,07
bluelion_big;bluemoon_small;lemon_middle;iron_small,a yellow lemon with three green leaves and an iron,07
bluelion_big;lemon_small;yellowmoon_small,I've got a blue lion with the faded yellow lemon and a yellow crescent moon,07
bluelion_big;lemon_small,okay I have a blue lion and a yellow lemon with three green leaves,07
yellowlion_big;bluemoon_small,I mean a a yellow lion and a blue crescent moon left,07
bluemermaid_big;arm_small,okay I have a blue mermaid and she has like a black fin,07
mime_big;onion_small,I have a scary clown with a white powdered face and an onion,07
bluemermaid_big;worm_small,and then on the lower right corner there's that squiggly purple worm guy,07
onion_big;oreo_small,okay I have a big onion in the middle and oreos on the lower right side,07
yarn_big;bluemermaid_small,and then on the lower left side there is a mermaid the blue mermaid,07
loom_big;lily_small,okay I have in the middle the big weaving machine and then a white flower on the lower right corner,07
mm_big;whale_small,okay I have the M and M man he's orange,07
arm_big;lily_small,okay I have the- a part of the arm in the middle and then I have the flower on the lower right corner,07
mirror_big;mm_small,okay in the middle I have a big uh I guess it's a mirror with a gold frame and on the lower right corner this is the orange M and M guy,07
yellowrhino_big;owl_small,the rhino is in the middle and the l- the little owl's on the left,07
ear_big;yellowrhino_small,and a yellow rhino on the lower left corner,07
ruler_big;ear_small,I've got um ?- the ruler in the middle and the ear on the lower right,07
ruler_big;one_small,okay I have a ruler in the middle and the number one on the lower left corner,07
zebra_big;toilet_small,I've got a zebra in the middle and a toilet uh- with the lid open on the lower right okay,07
sunflower_big;belt_small;microphone_small,a blue microphone on the left and a belt on the lower right corner,07
lamb_big;knee_small,I've got that knee slash elbow thing in the lower left and the- the lamb is dominating the middle,07
windmill_big;knee_small,okay I have a windmill in the middle and a knee on the lower left corner,07
microphone_big;sunflower_small;belt_small,I've got the blue microphone the sunflower and the belt n- th-,07
bluemailman_big;lawnmower_small,and he has a whole bunch of packages in his hands and then on the lower left corner there's a blue lawnmower,07
lawnmower_big;nun_small,now I've got the lawnmower big lawnmower and a praying nun in the lower right,07
llama_big;limo_small,okay I have a limo on the lower left corner and then there's a outline of a black animal it looks like a not a horse but it's um like maybe a- a maybe a llama or an,07
nun_big;strawberry_small,I've got the praying nun in the middle and a red strawberry,07
zebra_big;toilet_small,zebra in the middle and a toilet on the lower right corner,07
nail_big;owl_small,I got the big nail in the middle and the owl on the lower left,07
limo_big;nine_small,okay big limo in the middle and the number nine on the lower right corner,07
lei_big;llama_small,and then a- a- a- a- a la- a lau what do you call those things in Hawaii that they put around your neck lei,07
lamb_big;nail_small,okay I have a little sheep white sheep in the middle and then s- a nail on the lower right corner,07
nun_big;lily_small,I've got a praying nun in the middle and the lily the white lily in the right,07
mirror_big;chair_small,and then a swivel bl- a blue swivel chair,07
lamb_big;nail_small,got nuns and strawberries have the lamb,07
lily_big;knee_small,okay I have a b- the big white lily and then on the lower right corner is that knee with the arrow pointing to it,07
llama_big;limo_small,I've got the llama and the stretch limo,07
lei_big;mirror_small,and then on the lower right corner that mirror with the gold frame,07
bluelion_big;lemon_small;eye_small,okay um I'm looking at a card with a blue lion as the top main image,08
iron_big;lime_small;nail_small,an iron a lime in the lower left and a nail in the lower right yeah th- it's a green l- yeah,08
urn_big;bluemoon_small;yellowmoon_small,okay and now it looks like I've got a vase as the main image or vase um and two crescent moons blue in the lower left and yellow in the lower right,08
iron_big;lime_small;nail_small,um I've got the same image of it the iron with th- a green lime a- in the lower left and a nail in the lower right hand corner,08
alien_big;yellowlion_small;money_small,okay I'm looking at an alien in the- as the main image,08
bluelion_big;lemon_small;eye_small,okay it's the first image that I've- that I saw it's the blue lion,08
urn_big;bluemoon_small;yellowmoon_small,um okay it's the same vase,08
alien_big;yellowlion_small;money_small,um alien is the main image yellow lion in the lower left hand corner money in the lower right hand corner,08
menorah_big;arrow_small;melon_small,sorry um an arrow in the lower left hand corner and a g- a half of a cantaloupe or some melon in the lower right,08
menorah_big;arrow_small;melon_small,same image,08
bluemermaid_big;arm_small;onion_small,okay I have a blue mermaid on top with an arm on the left and an onion on the right okay fair enough,08
shoe_big;carrot_small;racket_small,carrots on the lowe- in the lower left hand corner and a tennis racket in the lower right hand corner,08
shoe_big;carrot_small;racket_small,I have a shoe on top carrots on the left and the tennis racket on the right sure,08
mime_big;yarn_small;oreo_small,as the main image a ball of yarn on the lower left hand corner and an- o- an- partially opened oreo in the lower right hand corner,08
shoe_big;wine_small,I have a shoe on top and a bottle of wine in the bottom right,08
bluemermaid_big;arm_small;onion_small,okay I've got a- what I believe is the first card that you've- have it's the uh blue mermaid on top an arm,08
sunflower_big;microphone_small;microphone_right,I have a sunflower on top with two microphones on the bottom one sort of angled to the left and the one on the right is more sort of u- upright it looks like mmhm,08
shoe_big;kettle_small;wine_small,oh wait maybe not a shoe with a tea kettle in the lower left hand corner,08
shoe_big;carrot_small;racket_small,I have that one from before the shoe on top with the carrots and the tennis racket okay,08
mime_big;yarn_small;oreo_small,okay I see two of the same card it's the mime,08
loom_big;whale_small;iron_small,and a whale on the bottom left and an iron on the bottom right,08
loom_big;whale_small;iron_small,okay I see the image now it's the loom,08
mm_big;one_small;nine_small,I have an M and M on top and the number one in the left and the number nine in the right yep,08
shoe_big;sunflower_small;racket_small,um yeah I don't know yeah I know it'd be- it'd be better if we could get two in a row or three in a row on the bottom,08
mm_big;one_small;nine_small,uh this is the same one I had be- before the M and M with the number one and number nine,08
kettle_big;safetypin_small;racket_small,with um a safety pin in the lower left hand corner and a tennis racket in the lower right hand corner,08
racket_big,I have uh just a t- a tennis racket on top sure,08
limo_big;mirror_small;worm_small,as the main image a frame in the lower left hand corner,08
microphone_big;carrot_small;shoe_small,okay I have a microphone on top with carrots on the left and a shoe on the right,08
microphone_big;carrot_small,with carrots in the lower left hand corner,08
limo_big;mirror_small;worm_small,I have that one you said b- before right with the limousine and the f- picture frame and the worm,08
airplane_big;yarn_small;oreo_small,okay um I see a red airplane pointed in the north-,08
bluemermaid_big;arm_small;onion_small,I have that blue mermaid arm onion thing again yep,08
racket_big,okay cool,08
yellowrhino_big,I have just a yellow rhinoceros,08
lamb_big;knee_small,I have a lamb and a and a persons knee on the bottom -? left,08
yellowrhino_big;ruler_small,I have the yellow rhi- rhinoceros with a ruler on the bottom right,08
yellowrhino_big;ear_small,I have the yellow rhinoceros with an ear on the bottom right,08
yellowrhino_big;owl_small,uh same yellow rhino with an owl in the bottom left,08
yellowrhino_big;owl_small;ear_small,uh yellow rhino owl in the left and an ear o- on the right,08
lamb_big;windmill_small;llama_small,uh a lamb on top with a silhouette of a llama on the bottom left and a windmill on the bottom right,08
yellowrhino_big;owl_small;ruler_small,uh the rhino and an owl and the ruler,08
yellowrhino_big;owl_small;ear_middle;ruler_small,okay this has four pictures a rhino an owl an ear and a ruler,08
lamb_big;lawnmower_small;arrow_middle;nun_small,this has four pictures also a lamb a lawnmower an arrow and a nun,08
bluelion_big,alright okay the first card I have in front of me is a blue lion with nothing else,08
airplane_big,I have a red airplane pointing up and nothing else,08
airplane_big,uh I've got that airplane,08
yellowlion_big,I've got a yellow lion on top so,08
bluelion_big;lemon_small,lemon in the lower left hand corner nothing else,08
yellowlion_big;bluemoon_small,I've got a yellow lion with a blue crescent moon in the left corner,08
bluelion_big;iron_small,I've got a blue lion with an iron in the lower right hand corner,08
yellowlion_big;lemon_small,I have a yellow lion with a lemon in the lower left yeah it's pro- it's probably not worth it,08
yellowlion_big;lemon_small,with a lemon in the lower left hand corner,08
bluelion_big;alien_small,-? you know what t- take it just so that we'll have a blue lion down there in case we get another one right right right it's a blue lion on- on top with a r- gray alien on th- o- on the bottom right so so whichever of those you think is is,08
alien_big;eye_small,alright I've got an alien,08
yellowlion_big;bluemoon_small;iron_small,I have a yellow lion with a blue crescent moon and an iron,08
bluelion_big;lemon_small;yellowmoon_small,with a lemon in the lower left hand corner and a yellow crescent moon in the lower right hand corner,08
bluelion_big;lemon_small;yellowmoon_small,uh I think I have what you just said a blue lion with a lemon and a yellow crescent moon,08
pineapple_big;sock_small,with a sock in the lower right hand corner,08
nail_big;lime_small;money_small,I have a nail on top with a green lime on the bottom left and a pile of money o- on the bottom right okay,08
bluelion_big;lemon_small;iron_small,I've got a blue lion with the lemon in the lower left hand corner and an iron in the lower right hand corner,08
yellowlion_big;lemon_small;money_small,uh I have a yellow lion with a lemon and a pile of money so,08
nail_big;lime_small;money_small,with a lime in the lower left hand corner and money in the lower right,08
yellowlion_big;lime_small;lemon_middle;yellowmoon_small,I have a yellow lion with a green lime and a ye- and a yellow lemon and a yellow crescent moon,08
bluelion_big;bluemoon_small;lemon_middle;iron_small,with a blue crescent moon in the lower left hand corner and a lemon in the middle,08
bluelion_big;lemon_small;yellowmoon_small,I have a blue lion on top with a lemon in the bottom left and a yellow crescent moon in- i- in the bottom right okay,08
bluelion_big;lemon_small,with a lemon in the lower left hand corner,08
yellowlion_big;bluemoon_small,I have a yellow lion on top with a blue crescent moon in the bottom left,08
bluemermaid_big;arm_small,I'm looking at a blue mermaid as the main image a l- an arm in the lower left hand corner,08
mime_big;onion_small,okay a mime as the main image onion in the lower right hand corner,08
bluemermaid_big;worm_small,mermaid in the top uh worm in the lower right hand corner,08
onion_big;oreo_small,onion as the main image on top uh partially separated oreo in the lower right hand corner,08
yarn_big;bluemermaid_small,uh ball of yarn as the main image and a blue mermaid in the lower left hand corner,08
loom_big;lily_small,a loom with um a white flower in the lower right hand corner,08
mm_big;whale_small,M and M with a whale in the lower left hand corner,08
arm_big;lily_small,arm with a- the white flower in the lower right hand corner,08
mirror_big;mm_small,frame with the M and M in the lower right hand corner,08
yellowrhino_big;owl_small,okay uh the first card I have which you're obviously not gonna have is a yellow rhino on top with an owl in the bottom left,08
ear_big;yellowrhino_small,with a yellow rhino in the lower left hand corner okay,08
ruler_big;ear_small,I have a ruler on top and an ear in the bottom right yeah,08
ruler_big;one_small,okay I have a ruler on top with a one in the bottom left,08
zebra_big;toilet_small,I have a zebra on top with a toilet in the bottom right,08
sunflower_big;belt_small;microphone_small,I've got a sunflower on top with a microphone in the lower left and a belt on- in the lower right hand corner,08
lamb_big;knee_small,I have a lamb on top and the persons knee in the bottom uh righ- uh left,08
windmill_big;knee_small,okay I've got a windmill with a persons knee in the lower left hand corner okay,08
microphone_big;sunflower_small;belt_small,uh oh I don't know sure I- I- I think you're w- we should get images down there just t- to match them in case right,08
bluemailman_big;lawnmower_small,okay I've got like a smurf person,08
lawnmower_big;nun_small,I've got the lawnmower on top and a nun i- in the bottom right mm sure,08
llama_big;limo_small,okay I've got the silhouette of a llama,08
nun_big;strawberry_small,I have a nun on top and a strawberry on the bottom right,08
zebra_big;toilet_small,okay I've got a zebra with a toilet in the lower right hand corner,08
nail_big;owl_small,I have uh a nail on top and an owl in the bottom left,08
limo_big;nine_small,I've got a limousine with a nine in the lower right hand corner,08
lei_big;llama_small,I've got like a Hawaiian lei on top and the llama silhouette on the- on the bottom left,08
lamb_big;nail_small,with a nail in the lower left hand er I'm sorry a nail in the lower right hand corner,08
nun_big;lily_small,I have a nun on top and a white flower ?- on the- on the bottom right,08
mirror_big;chair_small,I've got a frame on top with a- like an office desk chair in the lower right hand corner,08
lamb_big;nail_small,I have a lamb on top and a nail o- o- on the bottom right mm,08
lily_big;knee_small,um I have a white flower with a knee in the- in the lower left hand corner,08
llama_big;limo_small,I have I think you might have this the llama silhouette o- on top and the limousine on the bottom left yeah sure hey there you go,08
lei_big;mirror_small,oh I've got a lei with a frame in the lower left hand corner,08
bluelion_big;lemon_small;eye_small,okay there's a blue lion on it and then there's an eye in the lower right hand corner,09
iron_big;lime_small;nail_small,uh there's a huge iron on it and then there's a,09
urn_big;bluemoon_small;yellowmoon_small,there's a yellow crescent moon and a blue crescent moon and then there's a vase in the center,09
iron_big;lime_small;nail_small,hey I just did this one uh there's a nail on the right hand corner and there's a lime in the left hand corner and then there's an iron on the top big blue iron,09
alien_big;yellowlion_small;money_small,and a little yellow lion in the left hand corner and there's a stack of cash on the right,09
bluelion_big;lemon_small;eye_small,um a big blue lion eye on the right lemon on the left,09
urn_big;bluemoon_small;yellowmoon_small,a lot of these repeat uh big vase in the middle blue crescent moon on the left and yellow crescent moon on the right,09
alien_big;yellowlion_small;money_small,alien in the middle stack of cash on the right yellow lion on the left,09
menorah_big;arrow_small;melon_small,okay there's an arrow in the left hand corner what looks like half of a melon in the right,09
menorah_big;arrow_small;melon_small,same card as before the menorah the arrow and the pinkish pineapple thing or the melon whatever the same order as before too,09
bluemermaid_big;arm_small;onion_small,um there's like a blue mermaid in the middle on top and an arm,09
shoe_big;carrot_small;racket_small,um there's a big shoe in the middle kinda like it's red and white and then there's carrots in the lower left hand corner and a tennis racket in the right hand corner,09
shoe_big;carrot_small;racket_small,in the middle and then uh carrots on the lower left and a tennis racket on the lower right yay,09
mime_big;yarn_small;oreo_small,um there's an oreo cookie on the lower right hand corner and a ball of yarn or string on the left and there's a clown,09
shoe_big;wine_small,orange and white and a bottle and a glass of wine on the lower right corner nothing else on it,09
bluemermaid_big;arm_small;onion_small,an onion in the lower right hand and an arm in the left corner,09
sunflower_big;microphone_small;microphone_right,alright um I got a sunflower in the middle and then the two bottom ones are blue microphones like karaoke style ones okay,09
shoe_big;kettle_small;wine_small,I gotta um the re- red and white bowling shoe,09
shoe_big;carrot_small;racket_small,and a tennis racket on the bottom right and carrots on the bottom left I think we've seen this before,09
mime_big;yarn_small;oreo_small,oh hey okay I have an oreo cookie,09
loom_big;whale_small;iron_small,um better watch these buttons uh I think I have some type of sewing device um the one that they used in that uh fairy tale where the girl,09
loom_big;whale_small;iron_small,yeah there we go and then okay I have a whale on the lower left and an iron on the lower right,09
mm_big;one_small;nine_small,okay I have uh the orange M and M looking kind of scared and then a one on the bottom left and a nine on the bottom right,09
shoe_big;sunflower_small;racket_small,in the middle the tennis racket on the right and I think it's a sunflower on the left,09
mm_big;one_small;nine_small,alright I have the exact same thing I just had it's an M and M looking scared that's orange,09
kettle_big;safetypin_small;racket_small,um there's a big blue tea ket- tea kettle in the center,09
racket_big,okay I have a big blue tennis racket,09
limo_big;mirror_small;worm_small,okay I have um what looks like a limo and it's like a l- it should be black I guess it's brownish kinda is? a limo in the center um looks like a gray inch worm or book worm on the lower right,09
microphone_big;carrot_small;shoe_small,okay I got a blue microphone in the middle and some carrots on the left on the bottom,09
microphone_big;carrot_small,oh okay I have a big blue microphone in the center and carrots on the lower left,09
limo_big;mirror_small;worm_small,and a worm on the right oh okay points,09
airplane_big;yarn_small;oreo_small,a oreo cookie on the bottom right and that ball of yarn or thr- string or whatever on the left,09
bluemermaid_big;arm_small;onion_small,with the left hand on the bottom left or the left arm excuse me and a onion on the right,09
racket_big,okay I got um just a blue tennis racket that's it that's all that's on the card it's a tennis racket,09
yellowrhino_big,okay I have a big yellow rhino that's all I got,09
lamb_big;knee_small,or goat or something to that effect and then on the bottom left a leg with an arrow pointing to the knee,09
yellowrhino_big;ruler_small,I have a big yellow rhinoceros,09
yellowrhino_big;ear_small,in the middle on top and an ear a right ear on the bottom right,09
yellowrhino_big;owl_small,okay uh that rhinoceros is still there and I have an owl on the bottom left,09
yellowrhino_big;owl_small;ear_small,okay the rhinoceros with the colored owl on the bottom left and an ear on the bottom right,09
lamb_big;windmill_small;llama_small,um and a black uh th- that thing that um the Incas would ride on from South America,09
yellowrhino_big;owl_small;ruler_small,okay um rhinoceros again um and owl on the bottom left and a ruler on the bottom right,09
yellowrhino_big;owl_small;ear_middle;ruler_small,okay um now I have a rhinoceros and uh the owl on the bottom left,09
lamb_big;lawnmower_small;arrow_middle;nun_small,a lawnmower on the bottom left an arrow in the middle on the bottom and a nun praying on the bottom right,09
bluelion_big,um I have a blue lion,09
airplane_big,alright um I have a red airplane and that's all I have okay,09
airplane_big,um red airplane just the red airplane in the middle of the card,09
yellowlion_big,alright uh yellow lion in the middle on top maybe goldish,09
bluelion_big;lemon_small,uh blue lion again and this time there's a lemon in the lower left hand corner,09
yellowlion_big;bluemoon_small,with a a blue moon on the bottom left,09
bluelion_big;iron_small,I'm being haunted by blue lions I've a blue lion again and this time there's an iron in the lower right,09
yellowlion_big;lemon_small,yes with a uh lemon on the bottom left,09
yellowlion_big;lemon_small,okay see- alright now I have the yellow lion with the lemon,09
bluelion_big;alien_small,okay I've got a blue lion with an alien on the bottom right corner now,09
alien_big;eye_small,uh I have an alien in the middle and an eye on the lower right,09
yellowlion_big;bluemoon_small;iron_small,in the middle and then on the lower left is the blue crescent moon and I have an iron in the bottom right,09
bluelion_big;lemon_small;yellowmoon_small,lemon in the lower left and a yellow crescent moon in the bottom right,09
bluelion_big;lemon_small;yellowmoon_small,a lemon in the bottom left and a yellow crescent moon on the bottom right,09
pineapple_big;sock_small,okay I have a pineapple in the middle and a black sock in the lower right,09
nail_big;lime_small;money_small,and a green uh lime on the bottom left,09
bluelion_big;lemon_small;iron_small,ow sorry I have the blue lion in the middle and the lemon in the left and the iron in the right,09
yellowlion_big;lemon_small;money_small,with a lemon on the left and a stack of money on the right,09
nail_big;lime_small;money_small,has a big nail on it then the green lime the? stack of money and then another card I have has a pineapple on it and the sock and then the other one has an alien and the eye I don't think does it work that way I have no clue if it works that way,09
yellowlion_big;lime_small;lemon_middle;yellowmoon_small,uh okay I got the yellow lion now in the middle with the lime on the lower left,09
bluelion_big;bluemoon_small;lemon_middle;iron_small,the blue crescent moon on the left the lemon in the middle and the iron on the right,09
bluelion_big;lemon_small;yellowmoon_small,alright wait I have the blue lion,09
bluelion_big;lemon_small,okay the one I'm looking at now is the blue lion with the lemon on it that's it,09
yellowlion_big;bluemoon_small,okay uh I have the yellow lion with the blue moon on the bottom,09
bluemermaid_big;arm_small,um blue mermaid in the middle and arm in the lower left it's a left arm,09
mime_big;onion_small,um there's a onion in the lower right and a guy with his face painted white and he's wearing like a red and white striped shirt guess he could be a clown and he's wearing a black hat,09
bluemermaid_big;worm_small,um uh uu big blue mermaid in the center and little inchworm guy on the lower right,09
onion_big;oreo_small,uh it's a big onion in the center and an oreo cookie on the right lower right hand corner,09
yarn_big;bluemermaid_small,uh big ball of yarn in the center and the blue mermaid on the lower left,09
loom_big;lily_small,the spindle the sewing machine thing and then there's a white flower on the lower right,09
mm_big;whale_small,oh hey I got the M and M guy he is with the mm yeah and there's a whale,09
arm_big;lily_small,and then there's the left the big left arm in the center and then I guess it's an orchid on the lower right,09
mirror_big;mm_small,I have the it's a mirror it's like a yellow framed mirror and the scared M and M on the lower right,09
yellowrhino_big;owl_small,you have to pass,09
ear_big;yellowrhino_small,okay um- there's a big ear in the center and a yellow rhinoceros in the lower left,09
ruler_big;ear_small,in the middle and the ear on the lower right but don't click don't click the match even though you have the,09
ruler_big;one_small,um I have the number one in the lower left and a big ruler in the center,09
zebra_big;toilet_small,and a toilet in the lower left,09
sunflower_big;belt_small;microphone_small,okay there is a belt in the lower right a microphone in the lower left and a big old sunflower in the middle,09
lamb_big;knee_small,okay I have a sh- a goa-(t) a sheep uh and a uh knee with a little arrow pointing to the knee like a leg,09
windmill_big;knee_small,um I have the knee with the little arrow pointing to it in the lower left and a windmill in the middle,09
microphone_big;sunflower_small;belt_small,and a sunflower in the lower left and a belt in the lower right yeah,09
bluemailman_big;lawnmower_small,whoa okay I have a blue postal worker he's a blue postman in the center and a blue lawnmower in the lower left,09
lawnmower_big;nun_small,okay um I have the lawnmower,09
llama_big;limo_small,I have a big black llama in the center and a limo in the left in the lower left,09
nun_big;strawberry_small,okay um I now have a nun,09
zebra_big;toilet_small,in the m- the center walking on I'm gonna call it grass and a toilet bowl in the lower right oh yay,09
nail_big;owl_small,alright um I have a big nail with an owl on the lower left with an owl,09
limo_big;nine_small,oh I have a limo in the center and the number nine in the lower right,09
lei_big;llama_small,ooh okay wait I got a I guess it would be like a necklace of flowers,09
lamb_big;nail_small,okay I have a sheep,09
nun_big;lily_small,I also just realized we have to worry about this uh these circles on the bottom because we get a lot of extra points that way um anyways I have a praying nun and a white flower otherwise known as an orchid on the bottom right,09
mirror_big;chair_small,and a chair like the wheely chairs,09
lamb_big;nail_small,alright I have uh the what's it called uh the sheep thing,09
lily_big;knee_small,okay um I have the orchid the big orchid in the center and the knee on the lower left,09
llama_big;limo_small,okay I got a big black llama in the middle and a limo on the bottom left,09
lei_big;mirror_small,oh okay I have the necklace flower thing the lei I think it's called,09
bluelion_big;lemon_small;eye_small,okay the card I'm looking at has a big blue lion um a lemon on the lower left and an eye on the lower right,10
iron_big;lime_small;nail_small,okay there's a big iron a lime in the lower left and a nail on the lower right,10
urn_big;bluemoon_small;yellowmoon_small,um this one has kind of like a Grecian vase and in the big one a blue moon on the left and a yellow moon on the right,10
iron_big;lime_small;nail_small,this has uh the big iron the lime on the left and the nail on the right,10
alien_big;yellowlion_small;money_small,this one has an alien um a lion in the lower left and money in the lower right,10
bluelion_big;lemon_small;eye_small,this is the big blue lion with a- the lemon on the left and eye on the right,10
urn_big;bluemoon_small;yellowmoon_small,this is the Grecian urn again with the blue moon and then the yellow moon,10
alien_big;yellowlion_small;money_small,this is the alien with the yellow lion and the money,10
menorah_big;arrow_small;melon_small,um this one is a menorah,10
menorah_big;arrow_small;melon_small,and then same card menorah arrow and cantaloupe,10
bluemermaid_big;arm_small;onion_small,okay um in the middle of the card I have a big blue mermaid and then on the left corner there's a arm dangling and then on the right corner there's a onion okay,10
shoe_big;carrot_small;racket_small,this one is a big shoe and then in the left there's carrots and then in the lower right a tennis racket,10
shoe_big;carrot_small;racket_small,okay I have the big shoe the carrots and the tennis racket you just described,10
mime_big;yarn_small;oreo_small,okay this one is a mime and then a ball of yarn and then oreo an oreo cookie,10
shoe_big;wine_small,okay I have the big shoe and then on the lower right corner there's a wine glass and a wine bottle,10
bluemermaid_big;arm_small;onion_small,um this one is the mermaid blue mermaid with an arm and an onion,10
sunflower_big;microphone_small;microphone_right,okay I have a big sunflower and on the lower left and right there's two micr- there's microphones,10
shoe_big;kettle_small;wine_small,and then a tea kettle and then the wine,10
shoe_big;carrot_small;racket_small,okay I have the big shoe and then the bunch of carrots and the tennis racket,10
mime_big;yarn_small;oreo_small,mm this one is the mime with a ball of yarn and an oreo cookie again,10
loom_big;whale_small;iron_small,okay I have a weaving machine type thing,10
loom_big;whale_small;iron_small,um oh I think it's the card you just described the weaving loom with the whale on the left and the iron on the right,10
mm_big;one_small;nine_small,okay I have the yellow M and M guy and then number one and number nine at the bottom,10
shoe_big;sunflower_small;racket_small,um this one is a big shoe and then a sunflower on the left and a tennis racket on the right,10
mm_big;one_small;nine_small,okay I have the M and M guy again with the one and the nine,10
kettle_big;safetypin_small;racket_small,um this one is a big tea kettle with a safety pin on the left and then a tennis racket on the right,10
racket_big,okay I have a big uh tennis racket in the middle,10
limo_big;mirror_small;worm_small,this one is a big limousine and then there's a mirror on the left and a snake on the right,10
microphone_big;carrot_small;shoe_small,okay I have a m- microphone in the middle and then a bunch of carrots and a shoe on the lower right corner,10
microphone_big;carrot_small,um this one is a big microphone and then carrots on the lower left,10
limo_big;mirror_small;worm_small,okay I have the big limo and then the uh mirror with the gold rim and then the squiggly worm guy,10
airplane_big;yarn_small;oreo_small,um this one is an airplane a red airplane and then yarn on the lower left and then oreo cookies on the lower right,10
bluemermaid_big;arm_small;onion_small,okay I have a blue mermaid and then a dangling arm and an onion,10
